Node1	label	Node2	ID	Source
PALOMA-2	rdf:type	clinicalTrial		clinicaltrials.gov
PALOMA-2	hasInclusionCriteria	isPostmenopausal		clinicaltrials.gov
PALOMA-2	hasInclusionCriteria	hasECOGStatus0-2		
PALOMA-2	hasInclusionCriteria	isMetastatic		clinicaltrials.gov
PALOMA-2	hasInclusionCriteria	isLocoregionallyRecurrent		clinicaltrials.gov
PALOMA-2	hasInclusionCriteria	ERPositive		clinicaltrials.gov
PALOMA-2	hasInclusionCriteria	hadPriorSystemicAnti-cancerTherapyForAdvancedDisease		clinicaltrials.gov
PALOMA-2	hasInclusionCriteria	IsRECISTMeasurable		clinicaltrials.gov
PALOMA-2	hasInclusionCriteria	hadAdequateOrganFunction		clinicaltrials.gov
PALOMA-2	hasInclusionCriteria	hadAdequateMarrowFunction		clinicaltrials.gov
PALOMA-2	hasExclusionCriteria	HER2Positive		clinicaltrials.gov
PALOMA-2	hasExclusionCriteria	hasAdvancedSpreadThatAreAtRiskOfLifeThreateningComplicationInTheShortTerm		clinicaltrials.gov
PALOMA-2	hasExclusionCriteria	hasSymptomaticSpreadThatAreAtRiskOfLifeThreateningComplicationInTheShortTerm		clinicaltrials.gov
PALOMA-2	hasExclusionCriteria	hasViceralSpreadThatAreAtRiskOfLifeThreateningComplicationInTheShortTerm		clinicaltrials.gov
PALOMA-2	hasExclusionCriteria	hasPrior(neo)AdjuvantTreatmentWithLetrozoleWithDFI≤12-monthsFromCompletionOfTreatment		clinicaltrials.gov
PALOMA-2	hasExclusionCriteria	hasPrior(neo)AdjuvantTreatmentWithAnastrozoleWithDFI≤12-monthsFromCompletionOfTreatment		clinicaltrials.gov
PALOMA-2	hasExclusionCriteria	hasPriorTreatmentWithAnyCDK4/6Inhibitor		clinicaltrials.gov
PALOMA-2	hasDrug	Palbociclib	1	clinicaltrials.gov
1	hasDescription	inhibitorOfCyclin-dependentKinases4&6		https://druginfo.nlm.nih.gov/drugportal/name/Palbociclib
PALOMA-2	hasDrug	Letrozole	2	clinicaltrials.gov
2	hasDescription	Non-steroidalAromataseInhibitor		https://druginfo.nlm.nih.gov/drugportal/name/Letrozole
PALOMA-2	hasPercentageOfWhitePatients	77.5	3	PALOMA-2 paper
3	hasUnit	%		
PALOMA-2	hasPercentageOfPatientsWithVisceralDisease	48.2	4	PALOMA-2 paper
4	hasUnit	%		
4	hasGroup	treatmentGroup		
PALOMA-2	hasPercentageOfPatientsWithVisceralDisease	49.5	5	PALOMA-2 paper
5	hasUnit	%		
5	hasGroup	controlGroup		
PALOMA-2	hasPercentageOfPatientsHadReceivedPriorAdjuvantChemotherapy	48	6	PALOMA-2 paper
6	hasUnit	%		
6	hasGroup	treatmentGroup		
PALOMA-2	hasPercentageOfPatientsHadReceivedPriorAdjuvantChemotherapy	49.1	7	PALOMA-2 paper
7	hasUnit	%		
7	hasGroup	controlGroup		
PALOMA-2	hasPercentageOfPatientsWithNewlyDiagonosedAdavancedDisease	37.2	8	PALOMA-2 paper
8	hasUnit	%		
PALOMA-2	hasNumberOfPatients	444	9	clinicaltrials.gov
9	hasGroup	treatmentGroup		
9	hasUnit	person		
PALOMA-2	hasNumberOfPatients	222	10	clinicaltrials.gov
